,MM_id,Brand,laptop_name,display_info,processor_info,RAM,HDD,grapic_Card,colour,laptop,MM_Artkl_number,Nr_of_reviews,Processor,O_S,Screen_size_(cm / inch),Screen_resolution,Memory _Type,Processor_Brand,Processor_Model,Graphics_card_manufacturer,Connections,WLAN_standards,Bluetooth_version,Dimensions_(B / H / T) / Weight,price
10,M_10,APPLE,APPLE MacBook Pro with international English keyboard, notebook with 13.3 inch display, Core i5 processor, 16 GB RAM, 512 GB SSD, Iris Plus Graphics 640, Space Gray,"APPLE MacBook Pro with international English keyboard, notebook with 13.3 inch display, Core i5 processor, 16 GB RAM, 512 GB SSD, Iris Plus Graphics 640, Space Gray",2298197,0,2.3 GHz dual-core Intel Core i5 processor (Turbo Boost up to 3.6 GHz),macOS Sierra,33.78 cm / 13.3 inches,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 2 3 9 , -"
11,M_11,RAZER,RAZER Blade Pro (4K), Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 32 GB RAM, 512 GB mSSD, GeForce® GTX 1080, Schwarz,"RAZER Blade Pro (4K), Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 32 GB RAM, 512 GB mSSD, 512 GB mSSD, GeForce® GTX 1080, Schwarz",2434213,0,Intel® Core ? i7-7820HK processor (up to 3.90 GHz with Intel® Turbo Boost technology ...,Windows 10 Home (64 bit),43.94 cm / 17.3 inches,"3,840 x 2,160 pixels",DDR4,Intel®,Core? i7,8 GB,nein,null,null,null,"4 5 9 9 , -"
12,M_12,APPLE,APPLE MacBook mit britischer Tastatur, Notebook mit 12 Zoll Display, Core m3 Prozessor, 8 GB RAM, 256 GB Flash, HD Graphics 615, Silber,"APPLE MacBook mit britischer Tastatur, Notebook mit 12 Zoll Display, Core m3 Prozessor, 8 GB RAM, 256 GB Flash, HD Graphics 615, Silber",2295692,0,1.2 GHz Intel Dual-Core Core m3 processor (Turbo Boost up to 3.0 GHz),macOS Sierra,30.5 cm / 12 inches,"2,304 x 1,440 pixels",LPDDR3,Intel,Core m3,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"1 4 9 9 , -"
13,M_13,APPLE,APPLE MacBook Pro mit internationaler englischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 128 GB SSD, Iris Plus Graphics 640, Silber,"APPLE MacBook Pro mit internationaler englischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 8 GB RAM, 128 GB SSD, Iris Plus Graphics 640, Silber",2297855,0,2.5 GHz dual-core Intel Core i7 processor (Turbo Boost up to 4.0 GHz),macOS Sierra,33.78 cm / 13.3 inches,"2,560 x 1,600 pixels",LPDDR3,Intel,Core i7,Intel,"2x Thunderbolt 3 (USB-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"1 8 5 9 , -"
14,M_14,XMG,XMG PRO 17 - M18khb, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 16 GB RAM, 1 GB HDD, GeForce GTX 1060, Schwarz,"XMG PRO 17 - M18khb, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 16 GB RAM, 250 GB SSD, 1 GB HDD, GeForce GTX 1060, Schwarz",2412859,0,Intel® Core ? i7-8750H processor (up to 4.10 GHz with Intel® Turbo Boost technology),Windows 10 Home (64 bit),43.94 cm / 17.3 inches,"3,840 x 2,160 pixels",DDR4,Intel®,Core? i7,NVIDIA®,"2x USB Typ-A 3.0 (1x powered), 2x USB Typ-A 3.1 Gen2, 1x Thunderbolt 3/USB Typ-C 3.1 Gen2, 2x Mini-DisplayPort 1.4 (unterstützt G-SYNC-fähigen Monitor), 1x HDMI 2.0 (mit HDCP), 1x 2-in-1 Audio (Audioausgang + S/PDIF optisch), 1x Kopfhörerausgang, 1x Mikrofoneingang, 1x RJ-45","802.11a/b/g/n/ac, 2,4 Ghz und 5 Ghz mit bis zu 1.73 Gbps",5,418.5 mm x 24.9 mm x 287 mm / 3.1 kg,"2 0 9 9 , -"
15,M_15,APPLE,APPLE MacBook Pro MR932D/A-139770 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 32 GB RAM, 1 TB SSD, Radeon Pro 560X, Space Grau,"APPLE MacBook Pro MR932D/A-139770 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i7 Prozessor, 32 GB RAM, 1 TB SSD, Radeon Pro 560X, Space Grau",2458006,0,"2,2 GHz 6-Core Intel Core i7 Prozessor der 8. Generation (Turbo Boost bis zu 4,1 GHz)","SSD , 1 TB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i7,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"4119,-"
16,M_16,LENOVO,LENOVO IdeaPad 720S, Notebook mit 13.3 Zoll Display, Ryzen 7 Prozessor, 8 GB RAM, 256 GB SSD, Radeon RX Vega 10 integrierte Grafik, Platin Silber,"LENOVO IdeaPad 720S, Notebook mit 13.3 Zoll Display, Ryzen 7 Prozessor, 8 GB RAM, 256 GB SSD, Radeon RX Vega 10 integrierte Grafik, Platin Silber",2382437,0,AMD Ryzen 7 2700U,Windows 10 Home,33.8 cm / 13.3 Zoll,1.920 x 1.080 Pixel,8 GB,AMD,Ryzen 7,AMD,"2x USB 3.0, 1x USB Typ-C (DisplayPort/PowerDelivery/USB 3.0), 1x USB Typ-C (PowerDelivery/USB 3.0), 1x 3.5 mm Audio",802.11 ac,4.1,306 mm x 13.6 mm x 214 mm / 1.1 kg,"8 9 9 , -"
17,M_17,APPLE,APPLE MacBook mit britischer Tastatur, Notebook mit 12 Zoll Display, Core i7 Prozessor, 16 GB RAM, 512 GB Flash, HD Graphics 615, Gold,"APPLE MacBook mit britischer Tastatur, Notebook mit 12 Zoll Display, Core i7 Prozessor, 16 GB RAM, 512 GB Flash, HD Graphics 615, Gold",2295279,0,"1,4 GHz Intel Dual-Core Core i7 Prozessor (Turbo Boost bis zu 3,6 GHz)",macOS Sierra,30.5 cm / 12 Zoll,2.304 x 1.440 Pixel,LPDDR3,Intel,Core i7,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"2219,-"
18,M_18,APPLE,APPLE MacBook Pro MR9V2D/A-139657 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor,null, 2 TB SSD, IrisPlus Graphics 655, Silber,"APPLE MacBook Pro MR9V2D/A-139657 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 2 TB SSD, IrisPlus Graphics 655, Silber",2458058,0,"2,7 GHz Quad-Core Intel Core i7 Prozessor der 8. Generation (Turbo Boost bis zu...",IrisPlus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"4109,-"
19,M_19,ACER,ACER Swift 1 (SF114-32-P60X), Notebook mit 14 Zoll Display, Pentium® Silver Prozessor, 4 GB RAM, 64 GB eMMC, Intel® UHD Graphics 605, Aluminium-Unibody/Sparkly Silver,"ACER Swift 1 (SF114-32-P60X), Notebook mit 14 Zoll Display, Pentium® Silver Prozessor, 4 GB RAM, 64 GB eMMC, Intel® UHD Graphics 605, Aluminium-Unibody/Sparkly Silver",2435613,2,"Intel® Pentium® Silver N5000 processor (up to 2.70 GHz, 4 MB Intel® Cache)",Windows® 10S (64-bit),35.56 cm / 14 Zoll,1.920 x 1.080 Pixel,DDR4,Intel®,Pentium® Silver,Intel®,"1x USB 3.1 Typ-C, 2x USB 3.0, 1x USB 2.0, 1x Lautsprecher-/Kopfhöreranschluss, 1x HDMI","Intel® Dual Band Wireless-AC, 802.11 ac/a/b/g/n",4,323 mm x 14.95 mm x 228 mm / 1.4 kg,"4 3 9 , -"
20,M_20,MSI,MSI GV72 8RD-022, Gaming Notebook mit 17.3 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 1 TB HDD, GeForce® GTX 1050 Ti, Schwarz/Grau-Anthrazit,"MSI GV72 8RD-022, Gaming Notebook mit 17.3 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 1 TB HDD, GeForce® GTX 1050 Ti, Schwarz/Grau-Anthrazit",2486516,0,Intel® Core ? i5-8300H processor (up to 4.00 GHz with Intel® Turbo Boost technology),without operating system,43.9 cm / 17.3 Zoll,1.920 x 1.080 Pixel,DDR4,Intel®,Core? i5,NVIDIA,"1x USB 3.1 Gen1 Typ-C, 2x USB 3.1 Gen1 Typ-A, 1x USB 2.0 Typ-A, 1x LAN, 1x HDMI, 1x Mini DisplayPort, 1x Mic-in, 1x SPDIF, 1x SD-Kartenleser",null,null,419 mm x 32 mm x 287 mm / 2.7 kg,"9 9 9 , -"
21,M_21,ACER,ACER Aspire 5 (A517-51G-592A), Notebook mit 17.3 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 1 TB HDD, GeForce® MX130, Schwarz,"ACER Aspire 5 (A517-51G-592A), Notebook mit 17.3 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD, 1 TB HDD, GeForce® MX130, Schwarz",2479615,0,Intel® Core ? i5-8250U processor (up to 3.40 GHz with Intel® Turbo Boost technology ...,Windows 10 Home (64 bit),43.94 cm / 17.3 inches,1.920 x 1.080 Pixel,DDR4,Intel®,Core? i5,NVIDIA,DVD Brenner,null,null,null,"8 9 9 , -"
22,M_22,APPLE,APPLE MacBook Pro MR9Q2D/A-139451 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor,null, 2 TB SSD, Iris Plus Graphics 655, Space Grau,"APPLE MacBook Pro MR9Q2D/A-139451 mit britischer Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 2 TB SSD, Iris Plus Graphics 655, Space Grau",2458760,0,2.7 GHz quad-core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.5 ...,Iris Plus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"4109,-"
23,M_23,APPLE,APPLE MacBook Pro MR972D / A-140180 with international keyboard, notebook with 15.4 inch display, Core i9 processor,null, 4 TB SSD, Radeon Pro 560X, silver,"APPLE MacBook Pro MR972D / A-140180 with international keyboard, notebook with 15.4 inch display, Core i9 processor, 4 TB SSD, Radeon Pro 560X, silver",2458634,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),Radeon Pro 560X,39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"7 4 7 9 , -"
24,M_24,APPLE,APPLE MacBook Pro MR9R2D/A-139565 mit internationaler Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor,null, 512 GB SSD, Iris Plus Graphics 655, Space Grau,"APPLE MacBook Pro MR9R2D/A-139565 mit internationaler Tastatur, Notebook mit 13.3 Zoll Display, Core i5 Prozessor, 512 GB SSD, Iris Plus Graphics 655, Space Grau",2458495,0,2.3 GHz quad-core Intel Core i5 processor of the 8th generation (Turbo Boost up to ...,Iris Plus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i5,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 2 4 9 , -"
25,M_25,XMG,XMG PRO 17 - M18whs, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 32 GB RAM, 1 GB HDD, GeForce GTX 1070, Schwarz,"XMG PRO 17 - M18whs, Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 32 GB RAM, 500 GB SSD, 1 GB HDD, GeForce GTX 1070, Schwarz",2412812,0,Intel® Core ? i7-8750H processor (up to 4.10 GHz with Intel® Turbo Boost technology),Windows 10 Home (64 bit),43.94 cm / 17.3 inches,"1,920 x 1,080 pixels",DDR4,Intel®,Core? i7,NVIDIA®,"2x USB Typ-A 3.0 (1x powered), 2x USB Typ-A 3.1 Gen2, 1x Thunderbolt 3/USB Typ-C 3.1 Gen2, 2x Mini-DisplayPort 1.4 (unterstützt G-SYNC-fähigen Monitor), 1x HDMI 2.0 (mit HDCP), 1x 2-in-1 Audio (Audioausgang + S/PDIF optisch), 1x Kopfhörerausgang, 1x Mikrofoneingang, 1x RJ-45","802.11a/b/g/n/ac, 2,4 Ghz und 5 Ghz mit bis zu 1.73 Gbps",5,418.5 mm x 24.9 mm x 287 mm / 3.1 kg,"2 3 7 9 , -"
26,M_26,APPLE,APPLE MacBook Pro MR962D/A-139981 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor,null, 2 TB SSD, Radeon Pro 555X, Silber,"APPLE MacBook Pro MR962D/A-139981 mit US-Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 2 TB SSD, Radeon Pro 555X, Silber",2458307,0,2.9GHz 6-Core Intel Core i9 8th Generation Processor (Turbo Boost up to 4.8GHz),Radeon Pro 555X,39.11 cm / 15.4 inches,"2,880 x 1,800 pixels",DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"5 4 3 9 , -"
27,M_27,APPLE,APPLE MacBook Pro MR9V2D / A-139643 with US keyboard, notebook with 13.3 inch display, Core i7 processor,null, 512 GB SSD, IrisPlus Graphics 655, silver,"APPLE MacBook Pro MR9V2D / A-139643 with US keyboard, notebook with 13.3 inch display, Core i7 processor, 512 GB SSD, IrisPlus Graphics 655, silver",2458191,0,2.7 GHz quad-core Intel Core i7 processor of the 8th generation (Turbo Boost up to ...,IrisPlus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"2 6 0 9 , -"
28,M_28,APPLE,APPLE MacBook Pro MR9Q2D/A-139450 mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor,null, 2 TB SSD, Iris Plus Graphics 655, Space Grau,"APPLE MacBook Pro MR9Q2D/A-139450 mit US-Tastatur, Notebook mit 13.3 Zoll Display, Core i7 Prozessor, 2 TB SSD, Iris Plus Graphics 655, Space Grau",2458759,0,2.7 GHz quad-core Intel Core i7 processor of the 8th generation (Turbo Boost up to 4.5 ...,Iris Plus Graphics 655,33.78 cm / 13.3 Zoll,2.560 x 1.600 Pixel,LPDDR3,Intel,Core i7,Intel,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhörer Anschluss",802.11ac,5,304.1 mm x 14.9 mm x 212.4 mm / 1.37 kg,"4109,-"
29,M_29,APPLE,APPLE MacBook mit US-Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 16 GB RAM, 256 GB Flash, HD Graphics 615, Roségold,"APPLE MacBook mit US-Tastatur, Notebook mit 12 Zoll Display, Core i5 Prozessor, 16 GB RAM, 256 GB Flash, HD Graphics 615, Roségold",2295509,0,"1,3 GHz Intel Dual-Core Core i5 Prozessor (Turbo Boost bis zu 3,2 GHz)",macOS Sierra,30.5 cm / 12 Zoll,2.304 x 1.440 Pixel,LPDDR3,Intel,Core i5,Intel,"1x USB 3.1 (Typ-C), 1x 3.5 mm Klinke",802.11 a/b/g/n/ac,4.2,280.5 mm x 13.1 mm x 196.5 mm / 920 g,"1859,-"
30,M_30,APPLE,APPLE MacBook Pro MR932D/A-139870 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 32 GB RAM, 1 TB SSD, Radeon Pro 560X, Space Grau,"APPLE MacBook Pro MR932D/A-139870 mit französischer Tastatur, Notebook mit 15.4 Zoll Display, Core i9 Prozessor, 32 GB RAM, 1 TB SSD, Radeon Pro 560X, Space Grau",2458036,0,"2,9 GHz 6-Core Intel Core i9 Prozessor der 8. Generation (Turbo Boost bis zu 4,8 GHz)","SSD , 1 TB",39.11 cm / 15.4 Zoll,2.880 x 1.800 Pixel,DDR4,Intel,Core i9,AMD,"4x Thunderbolt 3 (USB?C) für Aufladen, DisplayPort, Thunderbolt (bis zu 40 Gbit/s), USB 3.1 (2. Generation bis zu 10 Gbit/s), 1x 3.5 mm Kopfhöreranschluss",802.11ac,5,349.3 mm x 15.5 mm x 240.7 mm / 1.83 kg,"4599,-"
