,Brand,Unnamed: 1,MM_id,laptop_name,display_info,processor_info,RAM,HDD,grapic_Card,weight,processor_speed,colour,laptop,MM_Artkl_number,Nr_of_reviews,Processor,O_S,Screen_size_(cm / inch),Screen_resolution,Memory_Type,Processor_Brand,Processor_Model,Graphics_card_manufacturer,Connections,WLAN_standards,Bluetooth_version,Dimensions_(B / H / T) / Weight,price,Headquarters,Country,CEO,Founder,Revenue_usd
10,ACER,232,M_232,ACER TravelMate P648 (TMP648-G3-M-51TH), Notebook mit 14 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 620,null,null, Schwarz,"ACER TravelMate P648 (TMP648-G3-M-51TH), Notebook mit 14 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 620, Schwarz",2429266,0,null,null,35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i5,null,null,null,null,null,"9 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
11,ACER,277,M_277,ACER Aspire 7 (A717-72G-76EM), Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 TB HDD,null, 3.04 kg,null, Schwarz,null,2459588,3,null,Windows 10 Home (64 bit),43.94 cm / 17.3 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i7,null,null,802.11 ac/a/b/g/n,4,423 mm x 28.25 mm x 289.91 mm / 3.04 kg,null, New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
12,ACER,278,M_278,ACER Swift 1 (SF114-32-P07W), Notebook mit 14 Zoll Display,null, 4 GB RAM, 64 GB eMMC,null, 1.4 kg,null, Aluminium-Unibody / Aqua Green,null,2435607,1,null,null,35.56 cm / 14 Zoll,1.920 x 1.080 Pixel,DDR4,null,null,null,null,null,4,323 mm x 14.95 mm x 228 mm / 1.4 kg,"4 4 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
13,ACER,344,M_344,ACER Swift 3 (SF315-41G-R81H), Notebook mit 15.6 Zoll Display, Ryzen? 7 Prozessor, 8 GB RAM, 256 GB SSD, Radeon? RX 540,null,null, Stellar Blue (Unibody Aluminium),"ACER Swift 3 (SF315-41G-R81H), Notebook mit 15.6 Zoll Display, Ryzen? 7 Prozessor, 8 GB RAM, 256 GB SSD, Radeon? RX 540, Stellar Blue (Unibody Aluminium)",2372982,1,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,AMD,Ryzen? 7,AMD,null,null,null,null,"8 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
14,ACER,374,M_374,ACER Aspire 7 (A715-71G-791K), Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 TB HDD,null,null,null, Schwarz (Aluminium A- & C-Cover),null,2363927,1,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i7,1000 GB,null,null,null,null,"1 1 0 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
15,ACER,523,M_523,ACER Aspire 5 (A515-52-58S9), Notebook mit 15.6 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 1 TB HDD,null,null,null, Schwarz,null,2484912,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,1.920 x 1.080 Pixel,DDR4,null,Core? i5,NVIDIA,null,null,null,null,"7 1 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
16,ACER,637,M_637,ACER Chromebook 14 (CB3-431-C6UD), Chromebook mit 14 Zoll Display, Celeron Prozessor, 4 GB RAM, 32 GB eMMC,null, 1550 g,null, Silber,null,2135208,10,null,Google Chrome OS,35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR3L,null,Celeron,null,null,null,4.2,341 mm x 16.9 mm x 237 mm / 1550 g,"3 6 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
17,ACER,696,M_696,ACER Aspire 7 (A717-71G-79K5), Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 TB HDD,null,null,null, Schwarz (Aluminium A- & C-Cover),null,2363936,0,null,Windows 10 Home (64 bit),43.94 cm / 17.3 Zoll,1.920 x 1.080 Pixel,DDR4,null,Core? i7,1000 GB,null,null,null,null,"1 0 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
18,ACER,742,M_742,ACER Predator Helios 500 (PH517-51-79UB), Gaming Notebook mit 17.3 Zoll Display, Core? i7 Prozessor, 16 GB RAM, 1 TB HDD,null, 4 kg,null, Schwarz/Blau,null,2437407,2,null,null,43.94 cm / 17.3 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i7,NVIDIA,"2x USB Typ-C, 3x USB 3.0,  (davon 1x Power-Off USB Charging), 1x RJ-45, 1x 3.5 mm Klinke, 1x Mikrofon, 1x HDMI, 1x Display Port",802.11 ac/a/b/g/n,5,428 mm x 38.7 mm x 298 mm / 4 kg,"1 9 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
19,ACER,783,M_783,ACER Swift 3 (SF314-55-50MX), 14-inch notebook, Core ? i5 processor, 8 GB RAM, 256 GB SSD,null,null,null, Silver,null,2479622,0,null,Windows 10 Home (64 bit),35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i5,null,null,null,null,null,"8 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
20,ACER,805,M_805,ACER Aspire 3 (A315-53-35FQ), 15.6-inch notebook, Core ? i3 processor, 4 GB RAM, 1 TB HDD,null, 2.1 kg,null, Black,null,2480662,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,1.366 x 768 Pixel,DDR4,null,Core? i3,null,null,802.11 ac/a/b/g/n,4,381 mm x 20.95 mm x 262.8 mm / 2.1 kg,"5 2 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
21,ACER,866,M_866,ACER Nitro 5 (AN515-51-77G1), Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1 TB HDD,null,null,null, Schwarz mit roten Applikationen,null,2363929,1,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i7,1000 GB,null,null,null,null,"1 0 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
22,ACER,888,M_888,ACER Swift 5 (SF515-51T-7828), Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD,null,null,null, Blau,null,2479567,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,1.920 x 1.080 Pixel,DDR4,null,Core? i7,null,null,null,null,null,"1 1 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
23,ACER,925,M_925,ACER Aspire 7 (A715-71G-52KU), Notebook mit 15.6 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 1 TB HDD,null, 2.35 kg,null, Schwarz,null,2396866,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,null,Core ? i5,null,null,null,4,381 mm x 23.95 mm x 262.8 mm / 2.35 kg,"9 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
24,ACER,974,M_974,ACER Predator Helios 300 (PH317-52-78BR), Gaming notebook with 17.3 inch display, Core ? i7 processor, 16 GB RAM, 1 TB HDD,null, 3 kg,null, Black,null,2481822,0,null,Windows 10 Home (64 bit),43.94 cm / 17.3 inches,1.920 x 1.080 Pixel,DDR4,null,Core? i7,NVIDIA,null,802.11 ac/a/b/g/n,4,432 mm x 29 mm x 289.91 mm / 3 kg,"1 4 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
25,ACER,1053,M_1053,ACER Aspire 5 (A515-52-52S7), Notebook mit 15.6 Zoll Display, Core? i5 Prozessor, 4 GB RAM, 1 TB HDD,null,null,null, Schwarz,null,2484913,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i5,NVIDIA,null,null,null,null,"6 1 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
26,ACER,1117,M_1117,ACER Aspire 3 (A315-53-3622), Notebook mit 15.6 Zoll Display, Core? i3 Prozessor, 8 GB RAM, 1 TB HDD,null, 2.1 kg,null, Schwarz,null,2480660,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 Zoll,1.366 x 768 Pixel,DDR4,null,Core? i3,null,null,802.11 ac/a/b/g/n,4,381 mm x 20.95 mm x 262.8 mm / 2.1 kg,"5 1 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
27,ACER,1188,M_1188,ACER Swift 1 (SF114-32-P8GG), Notebook mit 14 Zoll Display,null, 4 GB RAM, 256 GB SSD, UHD Grafik 620, 1.4 Kg,null, Sparkly Silver,null,2429237,2,null,Windows 10 Home (64 bit),35.56 cm / 14 Zoll,1.920 x 1.080 Pixel,DDR4,null,null,null,null,802.11 ac/a/b/g/n,4,323 mm x 14.95 mm x 228 mm / 1.4 Kg,"569,-", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
28,ACER,1258,M_1258,ACER Swift 1 (SF114-32-P6W9), notebook with 14 inch display,null, 4 GB RAM, 64 GB eMMC,null,null,null, black,null,2479552,0,null,Windows 10 S (64 bit),35.56 cm / 14 Zoll,1.920 x 1.080 Pixel,DDR4,null,null,null,null,null,null,null,"4 4 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
29,ACER,1265,M_1265,ACER Swift 5 (SF514-52T-52KA), Notebook mit 14 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD, UHD Grafik 620,null,null, Blau,"ACER Swift 5 (SF514-52T-52KA), Notebook mit 14 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD, UHD Grafik 620, Blau",2429277,1,null,null,35.56 cm / 14 inches,1.920 x 1.080 Pixel,LPDDR3,null,Core? i5,null,null,null,null,null,"9 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
30,ACER,1328,M_1328,ACER Nitro 5 (AN515-51-765D), Gaming Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD,null,null,null, Schwarz mit roten Applikationen,null,2342822,4,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i7,NVIDIA,null,null,null,null,"9 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
31,ACER,1386,M_1386,ACER Predator Helios 300 (PH315-51-53MU), Gaming Notebook mit 15.6 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 1 TB HDD,null, 2.7 Kg,null, Schwarz/Rot,null,2429329,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,null,Core ? i5,NVIDIA,null,802.11 ac/a/b/g/n,4,390 mm x 26.75 mm x 266 mm / 2.7 Kg,"1289,-", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
32,ACER,1411,M_1411,ACER Swift 7 (SF714-51T-M2FT), Notebook mit 14 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 615,null,null, Schwarz,"ACER Swift 7 (SF714-51T-M2FT), Notebook mit 14 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 615, Schwarz",2429343,0,null,null,35.56 cm / 14 inches,"1,920 x 1,080 pixels",LPDDR3,null,Core ? i7,null,null,null,null,null,"1 5 4 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
33,ACER,1422,M_1422,ACER Chromebook R 13 (CB5-312T-K0YK), Convertible mit 13.3 Zoll Display, Cortex Prozessor, 4 GB RAM, 32 GB eMMC, GX6250, 1.49 Kg,null, Silber,"ACER Chromebook R 13 (CB5-312T-K0YK), Convertible mit 13.3 Zoll Display, Cortex Prozessor, 4 GB RAM, 32 GB eMMC, GX6250, Silber",2429210,2,null,Google Chrome OS,33.78 cm / 13.3 inches,1.920 x 1.080 Pixel,LPDDR3,MediaTek,Cortex,PowerV,null,802.11 ac/a/b/g/n,4,326 mm x 15.5 mm x 228 mm / 1.49 Kg,"409,-", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
34,ACER,1438,M_1438,ACER Swift 1 (SF114-32-P4FE), Notebook mit 14 Zoll Display,null, 4 GB RAM, 256 GB SSD,null,null,null, Schwarz,null,2479607,0,null,Windows 10 Home (64 bit),35.56 cm / 14 inches,1.920 x 1.080 Pixel,DDR4,null,null,null,null,null,null,null,"5 8 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
35,ACER,1441,M_1441,ACER Predator Helios 300 (PH317-52-51LG), Gaming Notebook mit 17.3 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 512 GB SSD,null, 3 kg,null, Schwarz,null,2481804,0,null,Windows 10 Home (64 bit),43.94 cm / 17.3 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i5,NVIDIA,null,802.11 ac/a/b/g/n,4,432 mm x 29 mm x 289.91 mm / 3 kg,"9 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
36,ACER,1461,M_1461,ACER Aspire 3 (A315-51-388S), Notebook mit 15.6 Zoll Display, Core? i3 Prozessor, 4 GB RAM, 1 TB HDD, HD-Grafik 520,null,null, Schwarz,"ACER Aspire 3 (A315-51-388S), Notebook mit 15.6 Zoll Display, Core? i3 Prozessor, 4 GB RAM, 1 TB HDD, HD-Grafik 520, Schwarz",2364169,8,null,Windows 10 Home (64 bit),39.62 cm / 15.6 Zoll,1.920 x 1.080 Pixel,DDR4,null,Core? i3,null,null,null,null,null,"3 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
37,ACER,1509,M_1509,ACER Swift 3 (SF314-55-70VH), Notebook mit 14 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 256 GB SSD,null,null,null, Silber,null,2479563,0,null,Windows 10 Home (64 bit),35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i7,null,null,null,null,null,"9 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
38,ACER,1541,M_1541,ACER TravelMate P658 (TMP658-G3-M-57S7), Notebook mit 15.6 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD, HD Grafik 620, 2.09 Kg,null,null,null,2429263,0,null,Windows 10 Professional (64 bit),39.62 cm / 15.6 inches,1.920 x 1.080 Pixel,DDR4,null,Core? i5,null,null,802.11 ac/a/b/g/n,4,381 mm x 22.4 mm x 254.5 mm / 2.09 Kg,"9 4 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
39,ACER,1545,M_1545,ACER Aspire 1 (A114-32-P0K1), Notebook mit 14 Zoll Display,null, 4 GB RAM, 64 GB eMMC,null,null,null, Schwarz,null,2471743,0,null,Windows 10 in S mode (64 bit),35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR4,null,null,null,null,null,null,null,"2 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
40,ACER,1599,M_1599,ACER Aspire 3 (A315-51-388U), Notebook mit 15.6 Zoll Display, Core? i3 Prozessor, 8 GB RAM, 1 TB HDD,null, 2.1 kg,null, Schwarz,null,2480659,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,1.366 x 768 Pixel,DDR4,null,Core? i3,null,null,802.11 ac/a/b/g/n,4,381 mm x 21.6 mm x 259 mm / 2.1 kg,"5 1 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
41,ACER,1707,M_1707,ACER Aspire 3 (A315-53-33P6), Notebook mit 15.6 Zoll Display, Core? i3 Prozessor, 4 GB RAM, 256 GB SSD,null, 2.1 kg,null, Schwarz,null,2480661,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,366 x 768 pixels",DDR4,null,Core? i3,null,null,802.11 ac/a/b/g/n,4,381 mm x 20.95 mm x 262.8 mm / 2.1 kg,"4 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
42,ACER,1733,M_1733,ACER Predator Helios 300 (PH317-52-59ZQ), Gaming Notebook mit 17.3 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 1 TB HDD,null,null,null, Schwarz,null,2429327,0,null,null,43.94 cm / 17.3 inches,1.920 x 1.080 Pixel,DDR4,null,Core? i5,NVIDIA,null,null,null,null,"1229,-", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
43,ACER,1772,M_1772,ACER Aspire 7 (A715-72G-74ZB), Notebook mit 15.6 Zoll Display, Core? i7 Prozessor, 8 GB RAM, 1000 GB HDD,null,null,null, Schwarz (Aluminium A- & C-Cover),null,2412521,9,null,null,39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i7,NVIDIA,null,null,null,null,"9 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
44,ACER,1785,M_1785,ACER Swift 3 (SF315-41-R4AE), Notebook mit 15.6 Zoll Display, Ryzen 7 Prozessor, 8 GB RAM, 256 GB SSD, Radeon? Vega10 Mobile, 1.9 Kg,null, Iron Grey,"ACER Swift 3 (SF315-41-R4AE), Notebook mit 15.6 Zoll Display, Ryzen 7 Prozessor, 8 GB RAM, 256 GB SSD, Radeon? Vega10 Mobile, Iron Grey",2429253,0,null,Windows 10 Home (64 bit),39.62 cm / 15.6 inches,"1,920 x 1,080 pixels",DDR4,AMD,Ryzen 7,AMD,null,802.11 ac/a/b/g/n,4,384 mm x 17.9 mm x 255 mm / 1.9 Kg,"8 7 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
45,ACER,1799,M_1799,ACER Swift 3 (SF314-54-55W7), Notebook mit 14 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD, UHD Grafik 620, 1.6 kg,null, Silber,"ACER Swift 3 (SF314-54-55W7), Notebook mit 14 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD, UHD Grafik 620, Silber",2449908,2,null,Windows 10 Home (64 bit),35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i5,null,null,802.11 a/b/g/n/ac,4,323 mm x 18.7 mm x 228 mm / 1.6 kg,null, New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
46,ACER,1806,M_1806,ACER Swift 1 (SF114-32-P9Y2), Notebook mit 14 Zoll Display,null, 4 GB RAM, 256 GB SSD, UHD Grafik 605, 1.4 Kg,null, Luxury Gold,null,2429229,0,null,Windows 10 Home (64 bit),35.56 cm / 14 inches,1.920 x 1.080 Pixel,DDR4,null,null,null,null,802.11 ac/a/b/g/n,4,323 mm x 14.95 mm x 228 mm / 1.4 Kg,"5 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
47,ACER,1814,M_1814,ACER Aspire 1 (A114-31-P4J2), Notebook mit 14 Zoll Display,null, 4 GB RAM, 64 GB eMMC, HD-Grafik 505, 1.65 kg,null, Schwarz,null,2361097,18,null,Windows 10 S (64 bit),35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR3L,null,null,null,null,802.11 ac/a/b/g/n,4,343 mm x 17.95 mm x 245 mm / 1.65 kg,"2 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
48,ACER,1817,M_1817,ACER Swift 1 (SF114-32-P80Y), Notebook mit 14 Zoll Display,null, 4 GB RAM, 256 GB SSD,null,null,null, Aqua Green,null,2479589,0,null,Windows 10 Home (64 bit),35.56 cm / 14 Zoll,1.920 x 1.080 Pixel,DDR4,null,null,null,null,null,null,null,"5 9 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
49,ACER,1829,M_1829,ACER Chromebook Tab 10 (D651N-K0JP), Chromebook with 9.7 inch display, 4 GB RAM,null, 32 GB eMMC, OP1 processor Graphics, 550 g,null, Blue,"ACER Chromebook Tab 10 (D651N-K0JP), Chromebook with 9.7 inch display, 4 GB RAM, 32 GB eMMC, OP1 processor Graphics, Blue",2449907,0,null,Google Chrome OS,24.64 cm / 9.7 inches,"2,048 x 1,536 pixels",LPDDR3,Rockchip,RK3399,null,null,802.11 a/b/g/n/ac,4.1,172 mm x 9.98 mm x 238.2 mm / 550 g,"3 8 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
50,ACER,1889,M_1889,ACER Swift 3 (SF314-55-58CX), Notebook mit 14 Zoll Display, Core? i5 Prozessor, 8 GB RAM, 256 GB SSD,null,null,null, Silber,null,2479564,0,null,Windows 10 Home (64 bit),35.56 cm / 14 inches,"1,920 x 1,080 pixels",DDR4,null,Core? i5,NVIDIA,null,null,null,null,"9 5 9 , -", New Taipei City,Taiwan, Jason Chen ," Stan Shih, Carolyn Yeh",$263.8 B
